threshold,precision,recall,f1,tp,fp,tn,fn,predicted_positive_rate,accuracy
0.6599999999999999,0.8575592721395691,0.8402924084102767,0.8488380397366129,59428,9871,16966,11295,0.7103218532185321,0.7830463304633046
0.6699999999999999,0.8601493649796121,0.83217623686778,0.8459316114009745,58854,9569,17268,11869,0.7013427634276342,0.7802583025830259
0.6799999999999999,0.8632458340134439,0.8225753997992167,0.84242002983043,58175,9216,17621,12548,0.6907646576465765,0.7769167691676917
0.69,0.8660852800747066,0.8130594007607144,0.8387350856209341,57502,8891,17946,13221,0.6805350553505535,0.7733497334973349
0.7,0.8686203994184712,0.8025677643765112,0.8342887379839492,56760,8585,18252,13963,0.6697929479294793,0.7688806888068881
0.71,0.8713116284860558,0.7916377981703265,0.8295660806495825,55987,8269,18568,14736,0.658630586305863,0.7641963919639196
0.72,0.8737911713964641,0.780608854262404,0.8245758155096188,55207,7974,18863,15516,0.6476117261172611,0.7592250922509225
0.73,0.8768536428110896,0.7691981392192073,0.8195054344960568,54400,7640,19197,16323,0.6359163591635917,0.7543767937679376
0.74,0.8799099365611543,0.7570238819054621,0.8138543273871505,53539,7307,19530,17184,0.6236777367773678,0.7489647396473965
0.7499999999999999,0.883209963576548,0.7440153839627844,0.8076592478894858,52619,6958,19879,18104,0.6106703567035671,0.7431119311193112
0.7599999999999999,0.8868938288558922,0.7305402768547714,0.8011598877327917,51666,6589,20248,19057,0.597119721197212,0.7371258712587125
0.7699999999999999,0.8904323972638872,0.7160046943709967,0.7937488243777039,50638,6231,20606,20085,0.5829130791307913,0.7302583025830258
0.7799999999999999,0.8935080855973607,0.7007904076467344,0.7855014580956003,49562,5907,20930,21161,0.5685629356293563,0.722550225502255
0.7899999999999999,0.8967521051170537,0.6851519307721675,0.7767998845765401,48456,5579,21258,22267,0.5538642886428864,0.7145756457564576
0.7999999999999999,0.9003317824727328,0.667632877564583,0.7667151103785916,47217,5227,21610,23506,0.5375563755637557,0.7054838048380484
0.8099999999999999,0.9039313345276296,0.6492513043847122,0.7557109940750494,45917,4880,21957,24806,0.5206744567445675,0.6957154571545715
0.82,0.9079000977835724,0.6301627476210002,0.7439550625568604,44567,4521,22316,26156,0.5031570315703157,0.6855576055760557
0.83,0.9119527479041409,0.609094636822533,0.7303724175349062,43077,4159,22678,27646,0.4841738417384174,0.6739954899548996
0.84,0.9154665962038138,0.5878568499639438,0.7159647657507944,41575,3839,22998,29148,0.46549815498154984,0.661879868798688
0.8499999999999999,0.9201124786797584,0.5644556933388006,0.6996818831117616,39920,3466,23371,30803,0.4447109471094711,0.6487392373923739
